# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;
# ;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;
# Wahlberechtigte ohne und mit Wahlschein, Wähler/-innen ohne und mit Wahlschein und Wahlbeteiligung nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;
# ;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;
# ;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Wahlberechtigte;Wahlberechtigte ohne Wahlscheinvermerk;Wahlberechtigte mit Wahlscheinvermerk;Wähler/-innen;Wähler/-innen ohne Wahlschein;Wähler/-innen mit Wahlschein;Wahlbeteiligung
Bund;Summe;Summe;61688485;47595800;14092685;46976341;33466999;13509342;76,2
Bund;Summe;1997 - 1999;2045501;1709333;336168;1429282;1106864;322418;69,9
Bund;Summe;1993 - 1996;2902998;2295723;607275;1944182;1361784;582398;67,0
Bund;Summe;1988 - 1992;4206014;3311417;894597;2883700;2026305;857396;68,6
Bund;Summe;1983 - 1987;4302277;3455795;846482;3098738;2287709;811028;72,0
Bund;Summe;1978 - 1982;4264347;3490155;774193;3173342;2431453;741889;74,4
Bund;Summe;1973 - 1977;3953481;3273575;679906;3015509;2363836;651673;76,3
Bund;Summe;1968 - 1972;5230865;4232089;998776;4124009;3166501;957509;78,8
Bund;Summe;1958 - 1967;12396299;9581842;2814457;9846543;7148202;2698341;79,4
Bund;Summe;1948 - 1957;9487267;6950185;2537081;7688512;5256189;2432323;81,0
Bund;Summe;1947 und früher;12899435;9295685;3603749;9772523;6318157;3454367;75,8
Bund;m;Summe;29812788;23372785;6440002;22760296;16586710;6173586;76,3
Bund;m;1997 - 1999;1046360;893024;153336;721922;574843;147079;69,0
