# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien vom amtlichen Endergebnis geringfügig ab.;;;;;;;;;;;;;;;
# Für das Bundesgebiet wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus den Länderergebnissen weichen daher geringfügig vom entsprechenden Bundesergebnis ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;Sonstige;dar. NPD;dar. FREIE WÄHLER
Bund;1;Summe;Summe;46976341;586726;14030751;11429231;3966637;3717922;3255487;3249238;5317499;1422850;45169;589056
Bund;1;Summe;1993 - 1999;3369640;37704;818710;836085;325815;450604;219436;291067;233988;156231;2503;45772
Bund;1;Summe;1983 - 1992;6039663;58687;1512418;1362375;631362;631769;383571;446910;703775;308797;10507;103486
Bund;1;Summe;1973 - 1982;6227268;62068;1739054;1267308;535303;598947;426237;460129;867889;270333;9915;106025
Bund;1;Summe;1958 - 1972;13918027;146749;3810567;3338116;1169518;1296186;871771;941843;1900570;442707;13987;208034
Bund;1;Summe;1948 - 1957;7693131;103820;2310567;2042977;710235;446291;518411;505296;906420;149114;5214;75016
Bund;1;Summe;1947 und früher;9728612;177697;3839435;2582370;594405;294125;836062;603993;704858;95668;3043;50723
Bund;1;m;Summe;22757980;274037;6296759;5567376;2002937;1459836;1517208;1623874;3298126;717826;28243;277767
Bund;1;m;1993 - 1999;1694779;20330;402414;416491;165674;173296;109102;176190;146987;84297;1629;23053
Bund;1;m;1983 - 1992;3001418;29800;707161;655466;328018;246168;187482;249353;435091;162879;5903;49670
Bund;1;m;1973 - 1982;3089525;30587;809771;601921;273897;238333;206918;237284;548843;141972;6237;50058
Bund;1;m;1958 - 1972;6930258;71774;1805613;1669626;579245;511791;426407;455296;1195153;215355;9099;98115
Bund;1;m;1948 - 1957;3741274;50077;1020786;1029585;362295;180545;236940;235985;553360;71700;3468;35474
Bund;1;m;1947 und früher;4300726;71471;1551015;1194287;293808;109704;350359;269767;418692;41623;1905;21398
Bund;1;w;Summe;24218361;312689;7733992;5861855;1963700;2258086;1738279;1625364;2019373;705024;16926;311289
Bund;1;w;1993 - 1999;1674861;17375;416297;419594;160142;277309;110334;114877;87000;71934;873;22719
Bund;1;w;1983 - 1992;3038245;28888;805257;706909;303343;385600;196089;197557;268683;145918;4603;53815
Bund;1;w;1973 - 1982;3137743;31482;929283;665387;261406;360614;219318;222845;319046;128361;3678;55967
Bund;1;w;1958 - 1972;6987768;74976;2004953;1668490;590273;784395;445364;486547;705417;227352;4888;109920
Bund;1;w;1948 - 1957;3951857;53743;1289781;1013392;347939;265747;281471;269311;353060;77413;1746;39542
Bund;1;w;1947 und früher;5427886;106226;2288420;1388082;300596;184421;485703;334226;286166;54045;1139;29326
Bund;2;Summe;Summe;46976341;460849;12447656;9539381;4297270;4158400;2869688;4999449;5878115;2325533;176020;463292
Bund;2;Summe;1993 - 1999;3369640;24303;665605;615571;349726;488279;171568;441271;266957;346359;16690;33863
Bund;2;Summe;1983 - 1992;6039663;39765;1286190;1025242;656955;666043;322592;683394;770820;588662;49411;83196
Bund;2;Summe;1973 - 1982;6227268;42494;1518679;967437;563621;677766;363703;704903;953560;435105;42242;80898
Bund;2;Summe;1958 - 1972;13918027;103588;3425034;2746613;1279220;1447613;773402;1422660;2090839;629057;46103;157237
Bund;2;Summe;1948 - 1957;7693131;80774;2067428;1775691;800459;519000;462664;784904;1004932;197277;13644;63259
Bund;2;Summe;1947 und früher;9728612;169926;3484719;2408826;647289;359698;775759;962317;791007;129071;7930;44839
Bund;2;m;Summe;22757980;200192;5299230;4633487;2189501;1706000;1280483;2666886;3676203;1105998;111603;208771
Bund;2;m;1993 - 1999;1694779;13189;300217;305590;176106;192427;79817;280317;167573;179542;10713;15757
Bund;2;m;1983 - 1992;3001418;19674;555205;490462;342655;263648;146982;403389;480174;299229;29052;37952
Bund;2;m;1973 - 1982;3089525;19901;665699;456033;289045;281653;165918;387886;604999;218392;27959;38216
Bund;2;m;1958 - 1972;6930258;47053;1538881;1379820;643130;607369;363559;748468;1324465;277513;29986;71178
Bund;2;m;1948 - 1957;3741274;34896;874612;893330;413595;223251;206169;392710;619595;83114;9111;27586
Bund;2;m;1947 und früher;4300726;65480;1364615;1108252;324971;137652;318037;454115;479397;48208;4781;18081
Bund;2;w;Summe;24218361;260657;7148426;4905894;2107769;2452400;1589205;2332563;2201912;1219535;64417;254521
Bund;2;w;1993 - 1999;1674861;11114;365388;309981;173620;295852;91751;160954;99385;166817;5977;18106
Bund;2;w;1983 - 1992;3038245;20091;730985;534780;314301;402395;175609;280004;290646;289433;20359;45244
Bund;2;w;1973 - 1982;3137743;22593;852980;511405;274576;396113;197785;317016;348561;216713;14283;42681
Bund;2;w;1958 - 1972;6987768;56535;1886153;1366793;636091;840244;409843;674193;766374;351544;16117;86059
Bund;2;w;1948 - 1957;3951857;45878;1192816;882361;386863;295750;256495;392194;385337;114163;4532;35673
Bund;2;w;1947 und früher;5427886;104446;2120104;1300575;322319;222047;457722;508202;311609;80864;3149;26758
SH;1;Summe;Summe;1729194;13176;682287;493279;90574;163580;;131703;128641;25954;;18802
SH;1;Summe;1993 - 1999;122296;769;40148;34074;8822;18009;;11425;5452;3598;;2068
SH;1;Summe;1983 - 1992;188150;965;62869;50902;14264;22189;;14124;16752;6085;;3262
SH;1;Summe;1973 - 1982;223535;1099;86975;56059;13652;21910;;17780;20743;5317;;4305
SH;1;Summe;1958 - 1972;523245;3186;190832;147158;27356;59073;;39480;48127;8033;;6753
SH;1;Summe;1948 - 1957;293349;2884;109866;93468;17001;26540;;21245;20463;1882;;1642
SH;1;Summe;1947 und früher;378619;4273;191597;111618;9479;15859;;27650;17103;1039;;772
SH;1;m;Summe;835196;6667;313943;244836;46957;60985;;65994;82327;13486;;8885
SH;1;m;1993 - 1999;61452;451;19654;17133;5090;6308;;7280;3338;2199;;1235
SH;1;m;1983 - 1992;93339;525;29712;24912;7036;9113;;7603;10972;3465;;1469
SH;1;m;1973 - 1982;106276;617;38843;26118;6593;7999;;9041;14287;2778;;2145
SH;1;m;1958 - 1972;254488;1608;90228;73825;13328;21669;;19558;30497;3775;;3064
SH;1;m;1948 - 1957;141500;1512;49144;48580;9665;9890;;9552;12436;721;;621
SH;1;m;1947 und früher;178142;1954;86363;54267;5245;6006;;12960;10798;548;;352
SH;1;w;Summe;893998;6509;368344;248443;43617;102595;;65709;46314;12469;;9917
SH;1;w;1993 - 1999;60845;318;20495;16940;3732;11701;;4145;2114;1399;;833
SH;1;w;1983 - 1992;94810;440;33156;25990;7228;13076;;6521;5780;2620;;1794
SH;1;w;1973 - 1982;117259;482;48132;29940;7059;13910;;8739;6457;2540;;2160
SH;1;w;1958 - 1972;268757;1577;100604;73333;14028;37404;;19922;17630;4259;;3688
SH;1;w;1948 - 1957;151849;1372;60723;44888;7336;16650;;11692;8027;1161;;1021
SH;1;w;1947 und früher;200477;2319;105234;57351;4234;9854;;14690;6305;491;;419
SH;2;Summe;Summe;1729194;13553;583135;399505;124678;205471;;216844;140362;45646;4407;10911
SH;2;Summe;1993 - 1999;122296;644;32227;24499;10830;21066;;18288;6197;8546;468;1049
SH;2;Summe;1983 - 1992;188150;1095;53419;38434;18733;25674;;21660;17530;11604;1098;2027
SH;2;Summe;1973 - 1982;223535;1333;74116;41604;19300;27150;;27552;23003;9477;1167;2729
SH;2;Summe;1958 - 1972;523245;2911;163887;116969;37647;75739;;63927;50487;11679;1274;3307
SH;2;Summe;1948 - 1957;293349;2433;93732;78796;24245;33250;;35206;22842;2845;237;1152
SH;2;Summe;1947 und früher;378619;5138;165754;99203;13922;22592;;50211;20304;1495;164;648
SH;2;m;Summe;835196;5570;255199;195743;65258;82810;;115805;90699;24112;2774;4725
SH;2;m;1993 - 1999;61452;218;14772;12158;5824;8011;;11296;3938;5234;222;495
SH;2;m;1983 - 1992;93339;500;23516;17857;9502;10695;;12693;11392;7184;712;1059
SH;2;m;1973 - 1982;106276;604;30915;19039;9598;10707;;15017;15710;4685;752;1289
SH;2;m;1958 - 1972;254488;1191;74056;58646;18492;30554;;33660;32568;5320;959;1270
SH;2;m;1948 - 1957;141500;866;39885;40177;14150;13711;;17729;13932;1049;65;389
SH;2;m;1947 und früher;178142;2190;72054;47867;7691;9132;;25409;13159;640;64;224
SH;2;w;Summe;893998;7983;327936;203762;59420;122661;;101039;49663;21534;1633;6186
SH;2;w;1993 - 1999;60845;426;17455;12341;5006;13054;;6992;2259;3312;246;554
SH;2;w;1983 - 1992;94810;595;29903;20578;9231;14978;;8967;6138;4420;386;968
SH;2;w;1973 - 1982;117259;729;43201;22566;9702;16443;;12534;7293;4792;415;1440
SH;2;w;1958 - 1972;268757;1720;89830;58323;19155;45185;;30267;17919;6359;315;2037
SH;2;w;1948 - 1957;151849;1566;53847;38619;10095;19539;;17477;8910;1796;172;764
